rule_no,review_type_name,review_content,target_cond,pair_order,judge_item,result,in_use
1.0,요건심의,상이공무원심의,,1,예우법 4-1-4,비해당,True
1.0,요건심의,상이공무원심의,,2,예우법 4-1-6,비해당,True
1.0,요건심의,상이공무원심의,,3,보상법 2-1-2,비해당,True
2.0,요건심의,상이공무원심의,2개 이상,1,예우법 4-1-4,해당,True
2.0,요건심의,상이공무원심의,2개 이상,2,예우법 4-1-6,비해당,True
2.0,요건심의,상이공무원심의,2개 이상,3,보상법 2-1-2,비해당,True
3.0,요건심의,상이공무원심의,1개,1,예우법 4-1-4,해당,True
3.0,요건심의,상이공무원심의,1개,2,예우법 4-1-6,비해당,True
3.0,요건심의,상이공무원심의,1개,3,보상법 2-1-2,비해당,True
4.0,요건심의,상이공무원심의,2개 이상,1,예우법 4-1-4,해당,True
4.0,요건심의,상이공무원심의,2개 이상,2,예우법 4-1-6,비해당,True
4.0,요건심의,상이공무원심의,2개 이상,3,보상법 2-1-2,해당,True
5.0,요건심의,상이공무원심의,2개 이상,1,예우법 4-1-4,비해당,True
5.0,요건심의,상이공무원심의,2개 이상,2,예우법 4-1-6,해당,True
5.0,요건심의,상이공무원심의,2개 이상,3,보상법 2-1-2,비해당,True
6.0,요건심의,상이공무원심의,2개 이상,1,예우법 4-1-4,비해당,True
6.0,요건심의,상이공무원심의,2개 이상,2,예우법 4-1-6,해당,True
6.0,요건심의,상이공무원심의,2개 이상,3,보상법 2-1-2,해당,True
7.0,요건심의,상이공무원심의,,1,예우법 4-1-4,비해당,True
7.0,요건심의,상이공무원심의,,2,예우법 4-1-6,비해당,True
7.0,요건심의,상이공무원심의,,3,보상법 2-1-2,해당,True
8.0,요건심의,상이공무원심의,2개 이상,1,예우법 4-1-4,해당,True
8.0,요건심의,상이공무원심의,2개 이상,2,예우법 4-1-6,해당,True
8.0,요건심의,상이공무원심의,2개 이상,3,보상법 2-1-2,비해당,True
9.0,요건심의,상이공무원심의,2개 이상,1,예우법 4-1-4,해당,True
9.0,요건심의,상이공무원심의,2개 이상,2,예우법 4-1-6,해당,True
9.0,요건심의,상이공무원심의,2개 이상,3,보상법 2-1-2,해당,True
10.0,요건심의,상이군경심의,,1,예우법 4-1-4,비해당,True
10.0,요건심의,상이군경심의,,2,예우법 4-1-6,비해당,True
10.0,요건심의,상이군경심의,,3,보상법 2-1-2,비해당,True
11.0,요건심의,상이군경심의,2개 이상,1,예우법 4-1-4,해당,True
11.0,요건심의,상이군경심의,2개 이상,2,예우법 4-1-6,비해당,True
11.0,요건심의,상이군경심의,2개 이상,3,보상법 2-1-2,비해당,True
12.0,요건심의,상이군경심의,1개,1,예우법 4-1-4,해당,True
12.0,요건심의,상이군경심의,1개,2,예우법 4-1-6,비해당,True
12.0,요건심의,상이군경심의,1개,3,보상법 2-1-2,비해당,True
13.0,요건심의,상이군경심의,2개 이상,1,예우법 4-1-4,해당,True
13.0,요건심의,상이군경심의,2개 이상,2,예우법 4-1-6,비해당,True
13.0,요건심의,상이군경심의,2개 이상,3,보상법 2-1-2,해당,True
14.0,요건심의,상이군경심의,2개 이상,1,예우법 4-1-4,비해당,True
14.0,요건심의,상이군경심의,2개 이상,2,예우법 4-1-6,해당,True
14.0,요건심의,상이군경심의,2개 이상,3,보상법 2-1-2,비해당,True
15.0,요건심의,상이군경심의,2개 이상,1,예우법 4-1-4,비해당,True
15.0,요건심의,상이군경심의,2개 이상,2,예우법 4-1-6,해당,True
15.0,요건심의,상이군경심의,2개 이상,3,보상법 2-1-2,해당,True
16.0,요건심의,상이군경심의,,1,예우법 4-1-4,비해당,True
16.0,요건심의,상이군경심의,,2,예우법 4-1-6,비해당,True
16.0,요건심의,상이군경심의,,3,보상법 2-1-2,해당,True
17.0,요건심의,상이군경심의,2개 이상,1,예우법 4-1-4,해당,True
17.0,요건심의,상이군경심의,2개 이상,2,예우법 4-1-6,해당,True
17.0,요건심의,상이군경심의,2개 이상,3,보상법 2-1-2,비해당,True
18.0,요건심의,상이군경심의,2개 이상,1,예우법 4-1-4,해당,True
18.0,요건심의,상이군경심의,2개 이상,2,예우법 4-1-6,해당,True
18.0,요건심의,상이군경심의,2개 이상,3,보상법 2-1-2,해당,True
19.0,요건심의,사망군경심의,,1,예우법 4-1-3,비해당,True
19.0,요건심의,사망군경심의,,2,예우법 4-1-5,해당,True
20.0,요건심의,사망군경심의,,1,예우법 4-1-3,비해당,True
20.0,요건심의,사망군경심의,,2,예우법 4-1-5,비해당,True
21.0,요건심의,사망군경심의,,1,예우법 4-1-3,해당,True
22.0,요건심의,사망군경심의,,1,예우법 4-1-5,해당,True
23.0,요건심의,사망군경심의,,1,예우법 4-1-3,비해당,True
23.0,요건심의,사망군경심의,,2,예우법 4-1-5,비해당,True
23.0,요건심의,사망군경심의,,3,보상법 2-1-1,비해당,True
24.0,요건심의,사망군경심의,,1,예우법 4-1-3,비해당,True
24.0,요건심의,사망군경심의,,2,예우법 4-1-5,비해당,True
24.0,요건심의,사망군경심의,,3,보상법 2-1-1,비해당,True
25.0,요건심의,사망군경심의,,1,예우법 4-1-3,비해당,True
25.0,요건심의,사망군경심의,,2,예우법 4-1-5,비해당,True
25.0,요건심의,사망군경심의,,3,보상법 2-1-1,해당,True
26.0,요건심의,사망군경심의,,1,예우법 4-1-3,비해당,True
26.0,요건심의,사망군경심의,,2,예우법 4-1-5,비해당,True
26.0,요건심의,사망군경심의,,3,보상법 2-1-1,해당,True
27.0,요건심의,사망공무원심의,,1,예우법 4-1-3,비해당,True
27.0,요건심의,사망공무원심의,,2,예우법 4-1-5,해당,True
28.0,요건심의,사망공무원심의,,1,예우법 4-1-3,비해당,True
28.0,요건심의,사망공무원심의,,2,예우법 4-1-5,비해당,True
29.0,요건심의,사망공무원심의,,1,예우법 4-1-3,해당,True
30.0,요건심의,사망공무원심의,,1,예우법 4-1-5,해당,True
31.0,요건심의,사망공무원심의,,1,예우법 4-1-3,비해당,True
31.0,요건심의,사망공무원심의,,2,예우법 4-1-5,비해당,True
31.0,요건심의,사망공무원심의,,3,보상법 2-1-1,비해당,True
32.0,요건심의,사망공무원심의,,1,예우법 4-1-3,비해당,True
32.0,요건심의,사망공무원심의,,2,예우법 4-1-5,비해당,True
32.0,요건심의,사망공무원심의,,3,보상법 2-1-1,비해당,True
33.0,요건심의,사망공무원심의,,1,예우법 4-1-3,비해당,True
33.0,요건심의,사망공무원심의,,2,예우법 4-1-5,비해당,True
33.0,요건심의,사망공무원심의,,3,보상법 2-1-1,해당,True
34.0,요건심의,사망공무원심의,,1,예우법 4-1-3,비해당,True
34.0,요건심의,사망공무원심의,,2,예우법 4-1-5,비해당,True
34.0,요건심의,사망공무원심의,,3,보상법 2-1-1,해당,True
35.0,요건심의,보국수훈자심의,,1,예우법 4-1-8,해당,True
36.0,요건심의,보국수훈자심의,,1,예우법 4-1-8,비해당,True
37.0,요건심의,보국수훈자심의,,1,예우법 4-1-12,비해당,True
38.0,요건심의,보국수훈자심의,,1,예우법 4-1-12,해당,True
39.0,보상심의,상이사망 인정심의,,1,구 예우법 12-3,해당,True
40.0,보상심의,상이사망 인정심의,,1,구 예우법 12-3,비해당,True
41.0,보상심의,법적용대상심의,1개,1,예우법 13-2-2,해당,True
42.0,보상심의,법적용대상심의,1개,1,예우법 13-2-2,비해당,True
43.0,보상심의,법적용대상심의,,1,참전법 39-2,해당,True
44.0,보상심의,법적용대상심의,,1,참전법 39-2,비해당,True
45.0,보상심의,법적용대상심의,,1,고엽제법 28-3,해당,True
46.0,보상심의,법적용대상심의,,1,고엽제법 28-3,비해당,True
47.0,보상심의,법적용대상심의,,1,예우법 79-3,해당,True
48.0,보상심의,법적용대상심의,,1,예우법 79-3,비해당,True
49.0,보상심의,법적용대상심의,,1,특임법 80-3,해당,True
50.0,보상심의,법적용대상심의,,1,특임법 80-3,비해당,True
51.0,보상심의,법적용대상심의,,1,보상법 72-3,해당,True
52.0,보상심의,법적용대상심의,,1,보상법 72-3,비해당,True
53.0,보상심의,법적용대상심의,,1,제군법 제25조 제2항,해당,True
54.0,보상심의,법적용대상심의,,1,제군법 제25조 제2항,비해당,True
55.0,보상심의,법적용대상심의,,1,5.18 민주법 95-3,해당,True
56.0,보상심의,법적용대상심의,,1,5.18 민주법 95-3,비해당,True
57.0,보상심의,결손처분심의,1개,1,참전법 36-4,해당,True
58.0,보상심의,결손처분심의,1개,1,참전법 36-4,비해당,True
59.0,보상심의,결손처분심의,1개,1,예우법 75-4,해당,True
60.0,보상심의,결손처분심의,1개,1,예우법 75-4,해당,True
61.0,보상심의,결손처분심의,1개,1,예우법 75-4,비해당,True
62.0,보상심의,결손처분심의,1개,1,예우법 75-4,비해당,True
63.0,보상심의,결손처분심의,1개,1,고엽제법 25-4,해당,True
64.0,보상심의,결손처분심의,1개,1,고엽제법 25-4,비해당,True
65.0,보상심의,결손처분심의,1개,1,5.18 민주법 92-4,해당,True
66.0,보상심의,결손처분심의,1개,1,5.18 민주법 92-4,비해당,True
67.0,보상심의,결손처분심의,1개,1,독립법 35-4,해당,True
68.0,보상심의,결손처분심의,1개,1,독립법 35-4,비해당,True
69.0,보상심의,결손처분심의,1개,1,특임범 77-4,해당,True
70.0,보상심의,결손처분심의,1개,1,특임범 77-4,비해당,True
71.0,보상심의,결손처분심의,1개,1,보상법 68-4,해당,True
72.0,보상심의,결손처분심의,1개,1,보상법 68-4,비해당,True
73.0,보상심의,반환의무면제심의,1개,1,참전법 37-1,해당,True
74.0,보상심의,반환의무면제심의,1개,1,참전법 37-1,비해당,True
75.0,보상심의,반환의무면제심의,1개,1,예우법 76-1,해당,True
76.0,보상심의,반환의무면제심의,1개,1,예우법 76-1,비해당,True
77.0,보상심의,반환의무면제심의,1개,1,독립법 제36조,해당,True
78.0,보상심의,반환의무면제심의,1개,1,독립법 제36조,해당,True
79.0,보상심의,반환의무면제심의,1개,1,독립법 제36조,비해당,True
80.0,보상심의,반환의무면제심의,1개,1,독립법 제36조,비해당,True
81.0,보상심의,반환의무면제심의,1개,1,고엽제법 26-1,해당,True
82.0,보상심의,반환의무면제심의,1개,1,고엽제법 26-1,비해당,True
83.0,보상심의,반환의무면제심의,1개,1,보상법 69-1,해당,True
84.0,보상심의,반환의무면제심의,1개,1,보상법 69-1,비해당,True
85.0,보상심의,반환의무면제심의,1개,1,특임법 78-1,해당,True
86.0,보상심의,반환의무면제심의,1개,1,특임법 78-1,비해당,True
87.0,보상심의,반환의무면제심의,1개,1,5.18 민주법 93-1,해당,True
88.0,보상심의,반환의무면제심의,1개,1,5.18 민주법 93-1,비해당,True
89.0,보상심의,보상정지심의,1개,1,예우법 78-1,해당,True
90.0,보상심의,보상정지심의,1개,1,예우법 78-1,비해당,True
91.0,보상심의,보상정지심의,1개,1,독립법 38-1,해당,True
92.0,보상심의,보상정지심의,1개,1,독립법 38-1,비해당,True
93.0,보상심의,보상정지심의,1개,1,참전법 38-1,해당,True
94.0,보상심의,보상정지심의,1개,1,참전법 38-1,비해당,True
95.0,보상심의,보상정지심의,1개,1,고엽제법 27-1,해당,True
96.0,보상심의,보상정지심의,1개,1,고엽제법 27-1,비해당,True
97.0,보상심의,보상정지심의,1개,1,보상법 71-1,해당,True
98.0,보상심의,보상정지심의,1개,1,보상법 71-1,비해당,True
99.0,보상심의,보상정지심의,1개,1,특임법 79-1,해당,True
100.0,보상심의,보상정지심의,1개,1,특임법 79-1,비해당,True
101.0,보상심의,보상정지심의,1개,1,5.18 민주법 94-1,해당,True
102.0,보상심의,보상정지심의,1개,1,5.18 민주법 94-1,비해당,True
103.0,보상심의,보상정지심의,1개,1,고엽제법 28-1,해당,True
104.0,보상심의,보상정지심의,1개,1,고엽제법 28-1,비해당,True
105.0,고엽제심의,고엽제후유증2세심의,,1,고엽제법 2-2,해당,True
106.0,고엽제심의,고엽제후유증2세심의,,1,고엽제법 2-2,비해당,True
107.0,고엽제심의,고엽제후유증2세심의,,1,고엽제법 2-3,해당,True
108.0,고엽제심의,고엽제후유증2세심의,,1,고엽제법 2-3,비해당,True
109.0,고엽제심의,고엽제후유증2세심의,,1,고엽제법 2-4,해당,True
110.0,고엽제심의,고엽제후유증2세심의,,1,고엽제법 2-4,비해당,True
111.0,고엽제심의,고엽제후유(의)증심의,,1,고엽제법 2-2,해당,True
112.0,고엽제심의,고엽제후유(의)증심의,,1,고엽제법 2-2,비해당,True
113.0,고엽제심의,고엽제후유(의)증심의,,1,고엽제법 2-3,해당,True
114.0,고엽제심의,고엽제후유(의)증심의,,1,고엽제법 2-3,비해당,True
115.0,고엽제심의,고엽제후유(의)증심의,,1,고엽제법 2-4,해당,True
116.0,고엽제심의,고엽제후유(의)증심의,,1,고엽제법 2-4,비해당,True
117.0,요건심의,상이공무원심의,,1,예우법 4-1-15,비해당,True
118.0,요건심의,상이공무원심의,,1,예우법 4-1-15,해당,True
119.0,요건심의,상이공무원심의,,1,보상자법2-1-4,비해당,True
